city,latitude,longitude,station,dominant_pollutant,timestamp,timestamp_timezone,aqi,AQI_meaning,AQI_health_implications,pm2.5,pm10,o3,co,no2,so2,dew,h,p,t,w
Hubli,15.351773,75.140726,"Deshpande Nagar, Hubballi, India",pm2.5,2024-05-26 20:00:00,+05:30,60.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",60.0,53.0,0.3,0.3,10.0,4.9,23.0,73.99,1010.0,25.0,0.68
Bareilly,28.38910936,79.42963708,"Rajendra Nagar, Bareilly, India",pm2.5,2024-06-30 13:00:00,+05:30,30.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",30.0,19.0,0.2,0.9,0.8,7.7,27.2,68.45333333333333,732.9466666666667,31.6,0.91
Moradabad,28.856664,78.772638,"Jigar Colony, Moradabad, India",pm2.5,2024-06-30 13:00:00,+05:30,74.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",74.0,45.0,3.1,4.6,6.5,8.3,24.8,65.48750000000001,732.5224999999999,33.0,3.0
Gurgaon,28.4501238,77.0263051,"Vikas Sadan Gurgaon, Gurgaon, India",pm2.5,2024-06-30 13:00:00,+05:30,86.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",86.0,40.24025974025974,22.2,13.2,4.2,14.9,27.0,60.894999999999996,736.975,35.3725,0.3725
Jalandhar,31.321907,75.578914,"Civil Line, Jalandhar, India",pm2.5,2024-06-30 13:00:00,+05:30,74.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",74.0,45.0,12.5,7.2,9.5,5.3,,92.98,1008.3,32.2,1.5775000000000001
Salem,44.943114,-123.005934,"Salem, Oregon, USA",pm2.5,2024-06-29 23:00:00,-07:00,11.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",11.0,40.24025974025974,10.4,4.706329113924051,6.365625,3.6504132231404958,,94.5,1021.9,17.2,0.4
Thiruvananthapuram,8.5149093,76.9435879,"Plammoodu, Thiruvananthapuram, India",pm10,2024-06-30 13:00:00,+05:30,17.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",3.0,17.0,5.4,3.5,3.6,3.8,26.0,68.75,751.75,25.05,2.925
Bhiwandi,19.25292,73.142019,"Khadakpada, Kalyan, India",pm10,2024-06-30 13:00:00,+05:30,683.0,Invalid AQI value,Invalid AQI value,430.0,683.0,3.1,3.2,11.2,10.8,25.5,89.45,1001.2400000000001,28.5,0.66
Gorakhpur,26.730136,83.433859,"Madan Mohan Malaviya University of Technology, Gorakhpur, India",pm2.5,2024-06-30 13:00:00,+05:30,92.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",92.0,50.0,5.0,1.3,4.1,8.2,26.4,82.495,741.3625000000001,34.4,1.3825
Noida,28.5447608,77.3231257,"Sector - 125, Noida, India",pm2.5,2024-06-30 13:00:00,+05:30,81.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",81.0,34.0,5.5,7.4,0.6,7.5,27.0,66.25,730.5,30.4,1.975
