date,pm2.5,o3,no2,so2,co
2024-04-06,27.0,38.0,4.0,0.0,1.826271186440678
2024-04-05,48.0,47.0,5.0,0.0,1.826271186440678
2024-04-04,24.0,49.0,12.0,0.0,1.826271186440678
2024-04-03,34.0,41.0,1.0,0.0,1.826271186440678
2024-04-02,54.0,37.0,3.0,0.0,1.826271186440678
2024-04-01,36.64735698769008,31.0,1.0,0.0,1.826271186440678
2024-03-31,27.0,33.0,7.0,0.0,1.826271186440678
2024-03-30,31.0,37.0,5.0,0.0,1.826271186440678
2024-03-29,61.0,42.0,7.0,0.0,1.826271186440678
2024-03-28,37.0,33.0,11.0,0.0,1.826271186440678
2024-03-27,29.0,25.0,5.0,0.0,1.826271186440678
2024-03-26,42.0,33.0,3.0,0.0,1.826271186440678
2024-03-25,46.0,30.0,5.0,0.0,1.826271186440678
2024-03-24,55.0,39.0,7.0,0.0,1.826271186440678
2024-03-23,25.0,41.0,5.0,0.0,1.826271186440678
2024-03-22,22.0,32.0,9.0,0.0,1.826271186440678
2024-03-21,29.0,29.0,2.0,0.0,1.826271186440678
2024-03-20,26.0,33.0,7.0,0.0,1.826271186440678
2024-03-19,21.0,35.0,4.0,0.0,1.826271186440678
2024-03-18,34.0,31.0,0.0,0.0,1.826271186440678
2024-03-17,35.0,23.0,1.0,0.0,1.826271186440678
2024-03-16,49.0,20.0,5.0,0.0,1.826271186440678
2024-03-15,56.0,19.0,5.0,0.0,1.826271186440678
2024-03-14,40.0,18.0,7.0,0.0,1.826271186440678
2024-03-13,38.0,23.0,11.0,0.0,1.826271186440678
2024-03-12,39.0,38.0,12.0,0.0,1.826271186440678
2024-03-11,40.0,37.0,13.0,0.0,1.826271186440678
2024-03-10,23.0,36.0,6.0,0.0,1.826271186440678
2024-03-09,46.0,23.0,2.0,0.0,1.826271186440678
2024-03-08,36.0,29.0,4.0,0.0,1.826271186440678
2024-03-07,52.0,33.0,9.0,0.0,1.826271186440678
2024-03-06,47.0,38.0,15.0,0.0,1.826271186440678
2024-03-05,50.0,30.0,7.0,0.0,1.826271186440678
2024-03-04,50.0,16.0,6.0,0.0,1.826271186440678
2024-03-03,59.0,20.0,6.0,0.0,1.826271186440678
2024-03-02,52.0,26.0,12.0,0.0,1.826271186440678
2024-03-01,28.0,24.0,9.0,0.0,1.826271186440678
2024-02-29,39.0,22.0,3.0,0.0,1.826271186440678
2024-02-28,46.0,28.0,2.0,0.0,1.826271186440678
2024-02-27,37.0,30.0,1.0,0.0,1.826271186440678
2024-02-26,41.0,31.0,3.0,0.0,1.826271186440678
2024-02-25,43.0,39.0,4.0,0.0,1.826271186440678
2024-02-24,36.0,42.0,11.0,0.0,1.826271186440678
2024-02-23,36.0,38.0,8.0,0.0,1.826271186440678
2024-02-22,21.0,31.0,5.0,0.0,1.826271186440678
2024-02-21,38.0,30.0,9.0,0.0,1.826271186440678
2024-02-20,59.0,36.0,10.0,0.0,1.826271186440678
2024-02-19,50.0,34.0,15.0,0.0,1.826271186440678
2024-02-18,25.0,29.0,6.0,0.0,1.826271186440678
2024-02-17,25.0,24.0,1.0,0.0,1.826271186440678
2024-02-16,48.0,25.0,7.0,0.0,1.826271186440678
2024-02-15,46.0,20.0,18.0,0.0,1.826271186440678
2024-02-14,46.0,29.0,5.830965909090909,0.0,1.826271186440678
2024-02-13,16.0,28.0,12.0,0.0,1.826271186440678
2024-02-12,31.0,28.0,7.0,0.0,1.826271186440678
2024-02-11,37.0,25.0,3.0,0.0,1.826271186440678
2024-02-10,35.0,23.0,5.0,0.0,1.826271186440678
2024-02-09,35.0,28.0,6.0,0.0,1.826271186440678
2024-02-08,52.0,27.0,10.0,0.0,1.826271186440678
2024-02-07,41.0,27.0,16.0,0.0,1.826271186440678
2024-02-06,19.0,29.0,3.0,0.0,1.826271186440678
2024-02-05,38.0,23.0,1.0,0.0,1.826271186440678
2024-02-04,21.0,24.0,7.0,0.0,1.826271186440678
2024-02-03,42.0,26.0,3.0,0.0,1.826271186440678
2024-02-02,60.0,31.0,9.0,0.0,1.826271186440678
2024-02-01,40.0,25.0,19.0,0.0,1.826271186440678
2024-01-31,36.0,34.0,17.0,0.0,1.826271186440678
2024-01-30,50.0,34.0,11.0,0.0,1.826271186440678
2024-01-29,34.0,23.0,13.0,0.0,1.826271186440678
2024-01-28,19.0,22.0,10.0,0.0,1.826271186440678
2024-01-27,36.0,16.0,3.0,0.0,1.826271186440678
2024-01-26,20.0,10.0,8.0,0.0,1.826271186440678
2024-01-25,14.0,24.0,9.0,0.0,1.826271186440678
2024-01-24,42.0,22.0,5.0,0.0,1.826271186440678
2024-01-23,37.0,12.0,11.0,0.0,1.826271186440678
2024-01-22,43.0,16.0,7.0,0.0,1.826271186440678
2024-01-21,37.0,21.0,2.0,0.0,1.826271186440678
2024-01-20,30.0,24.0,2.0,0.0,1.826271186440678
2024-01-19,59.0,27.0,4.0,0.0,1.826271186440678
2024-01-18,41.0,18.0,11.0,0.0,1.826271186440678
2024-01-17,24.0,22.0,9.0,0.0,1.826271186440678
2024-01-16,30.0,26.0,4.0,0.0,1.826271186440678
2024-01-15,48.0,16.0,5.830965909090909,0.0,1.826271186440678
2024-01-14,53.0,18.0,13.0,0.0,1.826271186440678
2024-01-13,36.0,28.0,12.0,0.0,1.826271186440678
2024-01-12,32.0,24.0,3.0,0.0,1.826271186440678
2024-01-11,49.0,26.0,9.0,0.0,1.826271186440678
2024-01-10,29.0,28.0,15.0,0.0,1.826271186440678
2024-01-09,31.0,23.0,11.0,0.0,1.826271186440678
2024-01-08,40.0,23.0,1.0,0.0,1.826271186440678
2024-01-07,46.0,27.0,5.0,0.0,1.826271186440678
2024-01-06,26.0,21.0,9.0,0.0,1.826271186440678
2024-01-05,44.0,26.0,8.0,0.0,1.826271186440678
2024-01-04,41.0,30.0,6.0,0.0,1.826271186440678
2024-01-03,36.64735698769008,26.0,11.0,0.0,1.826271186440678
2024-01-02,231.0,15.0,2.0,0.0,1.826271186440678
2024-01-01,36.64735698769008,23.0,10.0,0.0,1.826271186440678
2023-12-31,62.0,34.0,16.0,0.0,1.826271186440678
2023-12-30,40.0,30.0,14.0,0.0,1.826271186440678
2023-12-29,24.0,24.0,12.0,0.0,1.826271186440678
2023-12-28,36.0,15.0,7.0,0.0,1.826271186440678
2023-12-27,32.0,27.0,6.0,0.0,1.826271186440678
2023-12-26,29.0,20.0,7.0,0.0,1.826271186440678
2023-12-25,24.0,22.0,3.0,0.0,1.826271186440678
2023-12-24,42.0,29.0,4.0,0.0,1.826271186440678
2023-12-23,49.0,27.0,1.0,0.0,1.826271186440678
2023-12-22,46.0,17.0,7.0,0.0,1.826271186440678
2023-12-21,33.0,19.0,6.0,0.0,1.826271186440678
2023-12-20,42.0,29.0,2.0,0.0,1.826271186440678
2023-12-19,63.0,30.385289431757833,11.0,0.0,1.826271186440678
2023-12-18,63.0,20.0,16.0,0.0,1.826271186440678
2023-12-17,30.0,25.0,8.0,0.0,1.826271186440678
2023-12-16,60.0,23.0,5.0,0.0,1.826271186440678
2023-12-15,48.0,22.0,7.0,0.0,1.826271186440678
2023-12-14,48.0,25.0,6.0,0.0,1.826271186440678
2023-12-13,46.0,16.0,8.0,0.0,1.826271186440678
2023-12-12,55.0,27.0,12.0,0.0,1.826271186440678
2023-12-11,23.0,21.0,18.0,0.0,1.826271186440678
2023-12-10,30.0,25.0,6.0,0.0,1.826271186440678
2023-12-09,27.0,21.0,3.0,0.0,1.826271186440678
2023-12-08,54.0,20.0,3.0,0.0,1.826271186440678
2023-12-07,53.0,29.0,10.0,0.0,1.826271186440678
2023-12-06,53.0,23.0,11.0,0.0,1.826271186440678
2023-12-05,29.0,20.0,11.0,0.0,1.826271186440678
2023-12-04,46.0,25.0,11.0,0.0,1.826271186440678
2023-12-03,57.0,25.0,4.0,0.0,1.826271186440678
2023-12-02,40.0,9.0,5.0,0.0,1.826271186440678
2023-12-01,28.0,12.0,5.0,0.0,1.826271186440678
2023-11-30,66.0,21.0,8.0,0.0,1.826271186440678
2023-11-29,44.0,31.0,15.0,0.0,1.826271186440678
2023-11-28,29.0,23.0,9.0,0.0,1.826271186440678
2023-11-27,34.0,20.0,6.0,0.0,1.826271186440678
2023-11-26,48.0,17.0,2.0,0.0,1.826271186440678
2023-11-25,43.0,26.0,2.0,0.0,1.826271186440678
2023-11-24,82.0,26.0,3.0,0.0,1.826271186440678
2023-11-23,40.0,13.0,9.0,0.0,1.826271186440678
2023-11-22,20.0,22.0,6.0,0.0,1.826271186440678
2023-11-21,34.0,23.0,0.0,0.0,1.826271186440678
2023-11-20,61.0,21.0,5.0,0.0,1.826271186440678
2023-11-19,50.0,30.0,1.0,0.0,1.826271186440678
2023-11-18,34.0,21.0,8.0,0.0,1.826271186440678
2023-11-17,34.0,29.0,8.0,0.0,1.826271186440678
2023-11-16,39.0,13.0,6.0,0.0,1.826271186440678
2023-11-15,37.0,26.0,5.0,0.0,1.826271186440678
2023-11-14,35.0,17.0,3.0,0.0,1.826271186440678
2023-11-13,42.0,11.0,4.0,0.0,1.826271186440678
2023-11-12,24.0,13.0,2.0,0.0,1.826271186440678
2023-11-11,11.0,10.0,0.0,0.0,1.826271186440678
2023-11-10,35.0,13.0,1.0,0.0,1.826271186440678
2023-11-09,19.0,21.0,9.0,0.0,1.826271186440678
2023-11-08,21.0,26.0,5.0,0.0,1.826271186440678
2023-11-07,22.0,26.0,6.0,0.0,1.826271186440678
2023-11-06,40.0,29.0,7.0,0.0,1.826271186440678
2023-11-05,40.0,37.0,7.0,0.0,1.826271186440678
2023-11-04,48.0,35.0,10.0,0.0,1.826271186440678
2023-11-03,49.0,38.0,15.0,0.0,1.826271186440678
2023-11-02,36.0,31.0,14.0,0.0,1.826271186440678
2023-11-01,21.0,26.0,7.0,0.0,1.826271186440678
2023-10-31,18.0,23.0,3.0,0.0,1.826271186440678
2023-10-30,26.0,14.0,1.0,0.0,1.826271186440678
2023-10-29,27.0,33.0,3.0,0.0,1.826271186440678
2023-10-28,30.0,28.0,3.0,0.0,1.826271186440678
2023-10-27,29.0,26.0,8.0,0.0,1.826271186440678
2023-10-26,34.0,18.0,5.0,0.0,1.826271186440678
2023-10-25,29.0,25.0,4.0,0.0,1.826271186440678
2023-10-24,28.0,29.0,4.0,0.0,1.826271186440678
2023-10-23,23.0,29.0,5.0,0.0,1.826271186440678
2023-10-22,38.0,28.0,2.0,0.0,1.826271186440678
2023-10-21,57.0,48.0,8.0,0.0,1.826271186440678
2023-10-20,44.0,53.0,17.0,0.0,1.826271186440678
2023-10-19,53.0,37.0,12.0,0.0,1.826271186440678
2023-10-18,51.0,35.0,13.0,0.0,1.826271186440678
2023-10-17,17.0,38.0,13.0,0.0,1.826271186440678
2023-10-16,15.0,26.0,4.0,0.0,1.826271186440678
2023-10-15,15.0,24.0,3.0,0.0,1.826271186440678
2023-10-14,31.0,26.0,3.0,0.0,1.826271186440678
2023-10-13,27.0,41.0,9.0,0.0,1.826271186440678
2023-10-12,34.0,33.0,7.0,0.0,1.826271186440678
2023-10-11,41.0,25.0,5.0,0.0,1.826271186440678
2023-10-10,46.0,29.0,17.0,0.0,1.826271186440678
2023-10-09,35.0,49.0,13.0,0.0,1.826271186440678
2023-10-08,30.0,29.0,5.0,0.0,1.826271186440678
2023-10-07,35.0,24.0,2.0,0.0,1.826271186440678
2023-10-06,30.0,28.0,3.0,0.0,1.826271186440678
2023-10-05,49.0,23.0,8.0,0.0,1.826271186440678
2023-10-04,30.0,24.0,7.0,0.0,1.826271186440678
2023-10-03,40.0,17.0,6.0,0.0,1.826271186440678
2023-10-02,38.0,44.0,7.0,0.0,1.826271186440678
2023-10-01,26.0,42.0,6.0,0.0,1.826271186440678
2023-09-30,38.0,35.0,4.0,0.0,1.826271186440678
2023-09-29,46.0,35.0,8.0,0.0,1.826271186440678
2023-09-28,45.0,44.0,8.0,0.0,1.826271186440678
2023-09-27,36.0,46.0,9.0,0.0,1.826271186440678
2023-09-26,31.0,42.0,6.0,0.0,1.826271186440678
2023-09-25,19.0,36.0,6.0,0.0,1.826271186440678
2023-09-24,19.0,29.0,1.0,0.0,1.826271186440678
2023-09-23,17.0,31.0,4.0,0.0,1.826271186440678
2023-09-22,29.0,28.0,4.0,0.0,1.826271186440678
2023-09-21,43.0,37.0,2.0,0.0,1.826271186440678
2023-09-20,51.0,48.0,11.0,0.0,1.826271186440678
2023-09-19,55.0,61.0,13.0,0.0,1.826271186440678
2023-09-18,51.0,48.0,14.0,0.0,1.826271186440678
2023-09-17,30.0,42.0,6.0,0.0,1.826271186440678
2023-09-16,44.0,32.0,5.0,0.0,1.826271186440678
2023-09-15,39.0,32.0,8.0,0.0,1.826271186440678
2023-09-14,40.0,27.0,5.0,0.0,1.826271186440678
2023-09-13,47.0,51.0,6.0,0.0,1.826271186440678
2023-09-12,49.0,70.0,9.0,0.0,1.826271186440678
2023-09-11,45.0,65.0,7.0,0.0,1.826271186440678
2023-09-10,31.0,42.0,7.0,0.0,1.826271186440678
2023-09-09,28.0,47.0,3.0,0.0,1.826271186440678
2023-09-08,23.0,46.0,3.0,0.0,1.826271186440678
2023-09-07,30.0,48.0,2.0,0.0,1.826271186440678
2023-09-06,29.0,44.0,5.0,0.0,1.826271186440678
2023-09-05,35.0,23.0,2.0,0.0,1.826271186440678
2023-09-04,35.0,24.0,1.0,0.0,1.826271186440678
2023-09-03,51.0,44.0,1.0,0.0,1.826271186440678
2023-09-02,62.0,57.0,7.0,0.0,1.826271186440678
2023-09-01,58.0,53.0,13.0,0.0,1.826271186440678
2023-08-31,46.0,43.0,10.0,0.0,1.826271186440678
2023-08-30,38.0,42.0,6.0,0.0,1.826271186440678
2023-08-29,37.0,41.0,4.0,0.0,1.826271186440678
2023-08-28,45.0,47.0,5.0,0.0,1.826271186440678
2023-08-27,49.0,46.0,1.0,0.0,1.826271186440678
2023-08-26,56.0,57.0,5.0,0.0,1.826271186440678
2023-08-25,54.0,50.0,8.0,0.0,1.826271186440678
2023-08-24,43.0,46.0,5.0,0.0,1.826271186440678
2023-08-23,36.0,41.0,4.0,0.0,1.826271186440678
2023-08-22,39.0,22.0,1.0,0.0,1.826271186440678
2023-08-21,41.0,37.0,3.0,0.0,1.826271186440678
2023-08-20,38.0,41.0,1.0,0.0,1.826271186440678
2023-08-19,34.0,43.0,1.0,0.0,1.826271186440678
2023-08-18,41.0,56.0,2.0,0.0,1.826271186440678
2023-08-17,31.0,47.0,3.0,0.0,1.826271186440678
2023-08-16,34.0,49.0,5.0,0.0,1.826271186440678
2023-08-15,36.0,47.0,4.0,0.0,1.826271186440678
2023-08-14,45.0,37.0,1.0,0.0,1.826271186440678
2023-08-13,41.0,25.0,0.0,0.0,1.826271186440678
2023-08-12,38.0,26.0,0.0,0.0,1.826271186440678
2023-08-11,33.0,26.0,1.0,0.0,1.826271186440678
2023-08-10,33.0,29.0,1.0,0.0,1.826271186440678
2023-08-09,28.0,22.0,1.0,0.0,1.826271186440678
2023-08-08,32.0,30.0,5.830965909090909,0.0,1.826271186440678
2023-08-07,27.0,30.0,5.830965909090909,0.0,1.826271186440678
2023-08-06,45.0,23.0,5.830965909090909,0.0,1.826271186440678
2023-08-05,30.0,30.0,0.0,0.0,1.826271186440678
2023-08-04,31.0,30.0,1.0,0.0,1.826271186440678
2023-08-03,37.0,35.0,2.0,0.0,1.826271186440678
2023-08-02,44.0,64.0,1.0,0.0,1.826271186440678
2023-08-01,42.0,60.0,1.0,0.0,1.826271186440678
2023-07-31,50.0,66.0,0.0,0.0,1.826271186440678
2023-07-30,65.0,43.0,5.830965909090909,0.0,1.826271186440678
2023-07-29,69.0,34.0,2.0,0.0,1.826271186440678
2023-07-28,76.0,49.0,2.0,0.0,1.826271186440678
2023-07-27,72.0,42.0,2.0,0.0,1.826271186440678
2023-07-26,32.0,38.0,2.0,0.0,1.826271186440678
2023-07-25,44.0,35.0,2.0,0.0,1.826271186440678
2023-07-24,33.0,59.0,4.0,0.0,1.826271186440678
2023-07-23,41.0,44.0,1.0,0.0,1.826271186440678
2023-07-22,52.0,33.0,0.0,0.0,1.826271186440678
2023-07-21,80.0,32.0,1.0,0.0,1.826271186440678
2023-07-20,106.0,35.0,2.0,0.0,1.826271186440678
2023-07-19,100.0,30.0,0.0,0.0,1.826271186440678
